Sample;Timestamp;Drift;Drift Error;Offset;Offset Error
375;1.55629e+15;0.999998;4.3193e-05;-806.524;809.743
376;1.55629e+15;0.999998;4.3193e-05;-806.524;809.743
377;1.55629e+15;0.999998;4.3193e-05;-806.524;809.743
378;1.55629e+15;0.999998;4.31383e-05;-806.54;809.726
379;1.55629e+15;0.999998;4.31383e-05;-806.54;809.726
380;1.55629e+15;0.999998;4.31383e-05;-806.54;809.726
381;1.55629e+15;0.999996;4.09991e-05;-806.108;809.294
382;1.55629e+15;0.999996;4.09991e-05;-806.108;809.294
383;1.55629e+15;0.999996;4.09873e-05;-806.112;809.291
384;1.55629e+15;0.999995;4.02592e-05;-806.107;809.115
385;1.55629e+15;0.999995;4.02592e-05;-806.107;809.115
386;1.55629e+15;0.999995;4.02592e-05;-806.107;809.115
387;1.55629e+15;0.999996;4.00762e-05;-806.162;809.06
388;1.55629e+15;0.999996;4.00762e-05;-806.162;809.06
389;1.55629e+15;0.999996;4.00762e-05;-806.162;809.06
390;1.55629e+15;0.999996;4.00622e-05;-806.167;809.056
391;1.55629e+15;0.999996;4.00622e-05;-806.167;809.056
392;1.55629e+15;0.999995;3.96158e-05;-806.111;808.959
393;1.55629e+15;0.999995;3.96158e-05;-806.111;808.959
394;1.55629e+15;0.999996;3.94107e-05;-806.173;808.896
395;1.55629e+15;0.999996;3.94107e-05;-806.173;808.896
396;1.55629e+15;0.999996;3.89537e-05;-806.312;808.758
397;1.55629e+15;0.999996;3.89537e-05;-806.312;808.758
398;1.55629e+15;0.999996;3.8751e-05;-806.373;808.696
399;1.55629e+15;0.999996;3.8751e-05;-806.373;808.696
400;1.55629e+15;0.999996;3.8751e-05;-806.373;808.696
401;1.55629e+15;0.999996;3.8751e-05;-806.373;808.696
402;1.55629e+15;0.999996;3.8751e-05;-806.373;808.696
403;1.55629e+15;0.999996;3.8751e-05;-806.373;808.696
404;1.55629e+15;0.999996;3.8751e-05;-806.373;808.696
405;1.55629e+15;0.999996;3.8751e-05;-806.373;808.696
406;1.55629e+15;0.999996;3.8751e-05;-806.373;808.696
407;1.55629e+15;0.999997;3.83857e-05;-806.484;808.586
408;1.55629e+15;0.999997;3.83857e-05;-806.484;808.586
409;1.55629e+15;0.999997;3.83857e-05;-806.484;808.586
410;1.55629e+15;0.999997;3.83857e-05;-806.484;808.586
411;1.55629e+15;0.999997;3.83857e-05;-806.484;808.586
412;1.55629e+15;0.999997;3.83857e-05;-806.484;808.586
413;1.55629e+15;0.999997;3.83857e-05;-806.484;808.586
414;1.55629e+15;0.999997;3.83857e-05;-806.484;808.586
415;1.55629e+15;0.999997;3.83857e-05;-806.484;808.586
416;1.55629e+15;0.999997;3.83857e-05;-806.484;808.586
417;1.55629e+15;0.999997;3.83857e-05;-806.484;808.586
418;1.55629e+15;0.999997;3.83857e-05;-806.484;808.586
419;1.55629e+15;0.999997;3.83857e-05;-806.484;808.586
420;1.55629e+15;0.999997;3.80811e-05;-806.576;808.493
421;1.55629e+15;0.999997;3.80811e-05;-806.576;808.493
422;1.55629e+15;0.999997;3.80811e-05;-806.576;808.493
423;1.55629e+15;0.999997;3.80811e-05;-806.576;808.493
424;1.55629e+15;0.999997;3.80176e-05;-806.595;808.474
425;1.55629e+15;0.999997;3.80176e-05;-806.595;808.474
426;1.55629e+15;0.999997;3.80176e-05;-806.595;808.474
427;1.55629e+15;0.999997;3.74271e-05;-806.774;808.295
428;1.55629e+15;0.999997;3.74271e-05;-806.774;808.295
429;1.55629e+15;0.999997;3.74271e-05;-806.774;808.295
430;1.55629e+15;0.999997;3.74271e-05;-806.774;808.295
431;1.55629e+15;0.999997;3.74271e-05;-806.774;808.295
432;1.55629e+15;0.999997;3.74271e-05;-806.774;808.295
433;1.55629e+15;0.999997;3.74271e-05;-806.774;808.295
434;1.55629e+15;0.999997;3.74271e-05;-806.774;808.295
435;1.55629e+15;0.999997;3.74271e-05;-806.774;808.295
436;1.55629e+15;0.999997;3.74271e-05;-806.774;808.295
437;1.55629e+15;0.999998;3.71678e-05;-806.853;808.217
438;1.55629e+15;0.999998;3.69735e-05;-806.912;808.158
439;1.55629e+15;0.999998;3.68126e-05;-806.961;808.109
440;1.55629e+15;0.999997;3.5643e-05;-806.724;807.873
